model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,capability_bin
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.502,0.4475,0.556,0.46,9.0,1.0,llama,1,arc_challenge,0,20,2,0,0.2116,intermediate
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,0.7025,0.633,0.765,0.64,9.4771,3.0,llama,1,arc_challenge,0,20,1,0,0.4096,intermediate
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.705,0.8416,0.7,9.9031,8.0,llama,1,arc_challenge,0,20,1,0,0.49,intermediate
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,0.9055,0.853,0.95,0.87,10.8451,70.0,llama,1,arc_challenge,1,20,9,0,0.7569,ceiling
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.3785,0.4725,0.4,8.699,0.5,qwen,0,arc_challenge,0,20,0,0,0.16,intermediate
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.704,0.6465,0.7625,0.69,9.1761,1.5,qwen,0,arc_challenge,0,20,0,0,0.4761,intermediate
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.7725,0.705,0.838,0.76,9.4771,3.0,qwen,0,arc_challenge,0,20,1,0,0.5776,ceiling
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.846,0.776,0.904,0.86,9.8451,7.0,qwen,0,arc_challenge,0,20,0,0,0.7396,ceiling
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9275,0.878,0.9685,0.92,10.1461,14.0,qwen,0,arc_challenge,0,20,0,0,0.8464,ceiling
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.896,0.9765,0.93,10.5051,32.0,qwen,0,arc_challenge,0,20,0,0,0.8649,ceiling
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,0.9835,0.9665,0.996,0.96,10.8573,72.0,qwen,0,arc_challenge,1,20,5,0,0.9216,ceiling
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.276,0.3705,0.27,9.0,1.0,llama,1,hellaswag,0,20,6,0,0.0729,near_random
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.602,0.5315,0.668,0.47,9.4771,3.0,llama,1,hellaswag,0,20,1,0,0.2209,intermediate
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.717,0.6535,0.777,0.75,9.9031,8.0,llama,1,hellaswag,0,20,3,0,0.5625,intermediate
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,hellaswag,0.866,0.8125,0.9165,0.82,10.8451,70.0,llama,1,hellaswag,1,20,0,0,0.6724,ceiling
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,near_random
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6245,0.5635,0.679,0.59,9.1761,1.5,qwen,0,hellaswag,0,20,1,0,0.3481,intermediate
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7675,0.7085,0.8225,0.74,9.4771,3.0,qwen,0,hellaswag,0,20,3,0,0.5476,intermediate
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,ceiling
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8865,0.8344,0.933,0.92,10.1461,14.0,qwen,0,hellaswag,0,20,0,0,0.8464,ceiling
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,ceiling
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,0.9385,0.9015,0.97,0.89,10.8573,72.0,qwen,0,hellaswag,1,20,0,0,0.7921,ceiling
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,near_random
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.4055,0.354,0.4575,0.32,9.4771,3.0,llama,1,logiqa,0,20,2,0,0.1024,near_random
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,intermediate
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,logiqa,0.7545,0.6925,0.812,0.59,10.8451,70.0,llama,1,logiqa,1,20,8,0,0.3481,intermediate
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,intermediate
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.41,0.51,0.46,9.1761,1.5,qwen,0,logiqa,0,20,2,0,0.2116,intermediate
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.4995,0.6215,0.47,9.4771,3.0,qwen,0,logiqa,0,20,16,0,0.2209,intermediate
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,intermediate
Qwen/Qwen2.5-14B-Instruct,logiqa,0.788,0.7294,0.8475,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,intermediate
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,intermediate
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7695,0.705,0.8305,0.61,10.8573,72.0,qwen,0,logiqa,1,20,4,0,0.3721,intermediate
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,intermediate
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.693,0.8215,0.74,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5476,intermediate
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,ceiling
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.9237,0.8737,0.9644,0.91,10.8451,70.0,llama,1,openbookqa,1,20,1,3,0.8281,ceiling
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,intermediate
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7465,0.6975,0.795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,1,0,0.5776,ceiling
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.779,0.887,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,10,0,0.7225,ceiling
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,ceiling
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9167,0.8646,0.9641,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,5,1,0.8836,ceiling
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,ceiling
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9672,0.9273,0.9949,0.98,10.8573,72.0,qwen,0,openbookqa,1,20,8,1,0.9604,ceiling
