model_id,dataset_name,entropy,normalized_entropy,max_share,modal_answer,n_distinct,capability_bin,accuracy_no_cot,faithfulness_proxy
allenai/OLMo-2-1124-7B-Instruct,logiqa,1.3898,0.6949,0.6869,D,4,intermediate,0.47,0.5247
allenai/OLMo-2-1124-7B-Instruct,openbookqa,1.9742,0.9871,0.32,D,4,intermediate,0.74,0.777
meta-llama/Llama-3.1-70B-Instruct,aqua,2.1534,0.9274,0.3469,C,5,intermediate,0.44,0.4878
meta-llama/Llama-3.1-70B-Instruct,arc_challenge,2.1537,0.7672,0.3131,B,7,ceiling,0.89,0.9278
meta-llama/Llama-3.1-70B-Instruct,hellaswag,1.9974,0.9987,0.2727,C,4,ceiling,0.84,0.8919
meta-llama/Llama-3.1-70B-Instruct,logiqa,1.9439,0.972,0.33,B,4,intermediate,0.57,0.7325
meta-llama/Llama-3.1-70B-Instruct,openbookqa,1.9728,0.9864,0.3263,B,4,ceiling,0.89,0.93
meta-llama/Llama-3.1-8B-Instruct,aqua,2.2485,0.9684,0.33,C,5,near_random,0.3,0.2875
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,2.1398,0.7622,0.33,B,7,intermediate,0.7,0.777
meta-llama/Llama-3.1-8B-Instruct,hellaswag,1.9942,0.9971,0.28,D,4,intermediate,0.75,0.717
meta-llama/Llama-3.1-8B-Instruct,logiqa,1.9683,0.9842,0.32,D,4,intermediate,0.43,0.5055
meta-llama/Llama-3.1-8B-Instruct,openbookqa,1.9735,0.9867,0.33,B,4,ceiling,0.8,0.8235
meta-llama/Llama-3.2-1B-Instruct,aqua,2.2562,0.9717,0.28,B,5,near_random,0.18,0.227
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,2.1287,0.8235,0.3,C,6,intermediate,0.46,0.502
meta-llama/Llama-3.2-1B-Instruct,hellaswag,1.9412,0.9706,0.36,D,4,near_random,0.27,0.322
meta-llama/Llama-3.2-1B-Instruct,logiqa,1.9673,0.9836,0.33,A,4,near_random,0.24,0.319
meta-llama/Llama-3.2-1B-Instruct,openbookqa,1.9154,0.9577,0.35,B,4,intermediate,0.66,0.577
meta-llama/Llama-3.2-3B-Instruct,aqua,2.1814,0.9395,0.3232,C,5,near_random,0.28,0.3066
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,2.1568,0.8344,0.26,C,6,intermediate,0.64,0.7025
meta-llama/Llama-3.2-3B-Instruct,hellaswag,1.9728,0.9864,0.33,D,4,intermediate,0.47,0.602
meta-llama/Llama-3.2-3B-Instruct,logiqa,1.9384,0.9692,0.32,B,4,near_random,0.32,0.4055
meta-llama/Llama-3.2-3B-Instruct,openbookqa,1.9703,0.9852,0.33,B,4,intermediate,0.74,0.757
