model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,capability_bin
allenai/OLMo-2-1124-13B-Instruct,hellaswag,0.7445,0.6895,0.7975,0.7,10.1139,13.0,olmo,0,hellaswag,0,20,0,0,0.49,intermediate
allenai/OLMo-2-0325-32B-Instruct,hellaswag,0.829,0.7735,0.884,0.82,10.5051,32.0,olmo,0,hellaswag,0,20,0,0,0.6724,ceiling
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,near_random
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6245,0.5635,0.679,0.59,9.1761,1.5,qwen,0,hellaswag,0,20,1,0,0.3481,intermediate
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7675,0.7085,0.8225,0.74,9.4771,3.0,qwen,0,hellaswag,0,20,3,0,0.5476,intermediate
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,ceiling
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8865,0.8344,0.933,0.92,10.1461,14.0,qwen,0,hellaswag,0,20,0,0,0.8464,ceiling
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,ceiling
Qwen/Qwen2.5-72B-Instruct,hellaswag,0.9505,0.9145,0.981,0.88,10.8573,72.0,qwen,0,hellaswag,0,20,0,0,0.7744,ceiling
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,near_random
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.4055,0.354,0.4575,0.32,9.4771,3.0,llama,1,logiqa,0,20,2,0,0.1024,near_random
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,intermediate
meta-llama/Llama-3.1-70B-Instruct,logiqa,0.7325,0.6665,0.796,0.57,10.8451,70.0,llama,1,logiqa,0,20,6,0,0.3249,intermediate
allenai/OLMo-2-0425-1B-Instruct,logiqa,0.388,0.3395,0.44,0.35,9.0,1.0,olmo,0,logiqa,0,20,14,0,0.1225,near_random
allenai/OLMo-2-1124-7B-Instruct,logiqa,0.5247,0.4601,0.5914,0.47,9.8451,7.0,olmo,0,logiqa,0,20,2,1,0.2209,intermediate
allenai/OLMo-2-1124-13B-Instruct,logiqa,0.552,0.4895,0.611,0.42,10.1139,13.0,olmo,0,logiqa,0,20,1,0,0.1764,intermediate
allenai/OLMo-2-0325-32B-Instruct,logiqa,0.6875,0.6249,0.7495,0.56,10.5051,32.0,olmo,0,logiqa,0,20,0,0,0.3136,intermediate
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,intermediate
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.41,0.51,0.46,9.1761,1.5,qwen,0,logiqa,0,20,2,0,0.2116,intermediate
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.4995,0.6215,0.47,9.4771,3.0,qwen,0,logiqa,0,20,16,0,0.2209,intermediate
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,intermediate
Qwen/Qwen2.5-14B-Instruct,logiqa,0.788,0.7294,0.8475,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,intermediate
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,intermediate
Qwen/Qwen2.5-72B-Instruct,logiqa,0.742,0.669,0.8115,0.65,10.8573,72.0,qwen,0,logiqa,0,20,0,0,0.4225,intermediate
