model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
meta-llama/Llama-3.2-1B-Instruct,aqua,0.227,0.185,0.274,0.18,9.0,1.0,llama,1,aqua,0,20,31,0,0.0324,0.2078,0.0192,meta-llama/Llama-3.2-1B-Instruct,0.246,0.2066,0.2884,0.26,9.0,1,aqua,0,20,26,1,0.0676,0.2085,0.0374,0.019,0.08,0.0007,0.0182
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2875,0.22,0.3555,0.3,9.9031,8.0,llama,1,aqua,0,20,24,0,0.09,0.1928,0.0947,meta-llama/Llama-3.1-8B-Instruct,0.3263,0.2571,0.4056,0.34,9.9031,1,aqua,0,20,36,1,0.1156,0.1843,0.142,0.0388,0.04,-0.0085,0.0473
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2325,0.1995,0.2655,0.19,8.699,0.5,qwen,0,aqua,0,20,11,0,0.0361,0.2325,0.0,Qwen/Qwen2.5-0.5B-Instruct,0.227,0.195,0.2635,0.19,8.699,0,aqua,0,20,11,0,0.0361,0.2247,0.0023,-0.0055,0.0,-0.0078,0.0023
Qwen/Qwen2.5-7B-Instruct,aqua,0.4641,0.3752,0.5596,0.41,9.8451,7.0,qwen,0,aqua,0,20,0,1,0.1681,0.2143,0.2499,Qwen/Qwen2.5-7B-Instruct,0.4904,0.403,0.5829,0.49,9.8451,0,aqua,0,20,0,1,0.2401,0.2079,0.2825,0.0263,0.08,-0.0064,0.0327
Qwen/Qwen2.5-32B-Instruct,aqua,0.6222,0.5318,0.7106,0.58,10.5051,32.0,qwen,0,aqua,0,20,0,1,0.3364,0.2054,0.4169,Qwen/Qwen2.5-32B-Instruct,0.646,0.562,0.7295,0.66,10.5051,0,aqua,0,20,0,0,0.4356,0.2107,0.4353,0.0238,0.08,0.0053,0.0185
