model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-7B,hellaswag,0.4345,0.405,0.4655,0.75,9.8451,7.0,qwen,0,hellaswag,0,20,284,0,0.5625,0.212,0.2225,Qwen/Qwen2.5-7B-Instruct,0.8215,0.769,0.8725,0.81,9.8451,0,hellaswag,0,20,0,0,0.6561,0.248,0.5735,0.387,0.06,0.036,0.351
Qwen/Qwen2.5-14B,hellaswag,0.402,0.372,0.432,0.82,10.1461,14.0,qwen,0,hellaswag,0,20,105,0,0.6724,0.2418,0.1602,Qwen/Qwen2.5-14B-Instruct,0.8865,0.8344,0.933,0.92,10.1461,0,hellaswag,0,20,0,0,0.8464,0.2475,0.639,0.4845,0.1,0.0058,0.4787
Qwen/Qwen2.5-32B,hellaswag,0.4285,0.4005,0.4575,0.84,10.5051,32.0,qwen,0,hellaswag,0,20,326,0,0.7056,0.2117,0.2168,Qwen/Qwen2.5-32B-Instruct,0.928,0.88,0.968,0.95,10.5051,0,hellaswag,0,20,0,0,0.9025,0.247,0.681,0.4995,0.11,0.0353,0.4642
Qwen/Qwen2.5-0.5B,logiqa,0.187,0.165,0.2105,0.39,8.699,0.5,qwen,0,logiqa,0,20,465,0,0.1521,0.1699,0.0171,Qwen/Qwen2.5-0.5B-Instruct,0.3205,0.2855,0.358,0.36,8.699,0,logiqa,0,20,10,0,0.1296,0.2877,0.0328,0.1335,-0.03,0.1179,0.0156
Qwen/Qwen2.5-1.5B,logiqa,0.254,0.225,0.283,0.39,9.1761,1.5,qwen,0,logiqa,0,20,276,0,0.1521,0.2195,0.0345,Qwen/Qwen2.5-1.5B-Instruct,0.457,0.41,0.51,0.46,9.1761,0,logiqa,0,20,2,0,0.2116,0.2924,0.1646,0.203,0.07,0.073,0.13
Qwen/Qwen2.5-3B,logiqa,0.278,0.252,0.306,0.41,9.4771,3.0,qwen,0,logiqa,0,20,217,0,0.1681,0.2361,0.0419,Qwen/Qwen2.5-3B-Instruct,0.5595,0.4995,0.6215,0.47,9.4771,0,logiqa,0,20,16,0,0.2209,0.2724,0.2871,0.2815,0.06,0.0363,0.2452
Qwen/Qwen2.5-7B,logiqa,0.335,0.2935,0.375,0.48,9.8451,7.0,qwen,0,logiqa,0,20,271,0,0.2304,0.2231,0.1119,Qwen/Qwen2.5-7B-Instruct,0.6795,0.6155,0.747,0.51,9.8451,0,logiqa,0,20,21,0,0.2601,0.2659,0.4136,0.3445,0.03,0.0428,0.3017
Qwen/Qwen2.5-14B,logiqa,0.3675,0.3295,0.405,0.56,10.1461,14.0,qwen,0,logiqa,0,20,205,0,0.3136,0.2285,0.139,Qwen/Qwen2.5-14B-Instruct,0.788,0.7294,0.8475,0.62,10.1461,0,logiqa,0,20,2,0,0.3844,0.2548,0.5332,0.4205,0.06,0.0264,0.3941
Qwen/Qwen2.5-32B,logiqa,0.408,0.37,0.446,0.63,10.5051,32.0,qwen,0,logiqa,0,20,261,0,0.3969,0.2154,0.1926,Qwen/Qwen2.5-32B-Instruct,0.7735,0.7095,0.833,0.67,10.5051,0,logiqa,0,20,1,0,0.4489,0.2575,0.516,0.3655,0.04,0.0421,0.3234
Qwen/Qwen2.5-0.5B,openbookqa,0.259,0.234,0.2825,0.38,8.699,0.5,qwen,0,openbookqa,0,20,89,0,0.1444,0.2449,0.0141,Qwen/Qwen2.5-0.5B-Instruct,0.4295,0.3825,0.4835,0.46,8.699,0,openbookqa,0,20,0,0,0.2116,0.2504,0.1791,0.1705,0.08,0.0055,0.165
Qwen/Qwen2.5-1.5B,openbookqa,0.264,0.2425,0.2875,0.65,9.1761,1.5,qwen,0,openbookqa,0,20,69,0,0.4225,0.2496,0.0144,Qwen/Qwen2.5-1.5B-Instruct,0.7465,0.6975,0.795,0.76,9.1761,0,openbookqa,0,20,1,0,0.5776,0.2444,0.5021,0.4825,0.11,-0.0052,0.4877
Qwen/Qwen2.5-3B,openbookqa,0.2755,0.2575,0.2945,0.72,9.4771,3.0,qwen,0,openbookqa,0,20,64,0,0.5184,0.248,0.0275,Qwen/Qwen2.5-3B-Instruct,0.8355,0.779,0.887,0.85,9.4771,0,openbookqa,0,20,10,0,0.7225,0.2454,0.5901,0.56,0.13,-0.0025,0.5625
Qwen/Qwen2.5-7B,openbookqa,0.3755,0.35,0.3986,0.87,9.8451,7.0,qwen,0,openbookqa,0,20,98,0,0.7569,0.2362,0.1393,Qwen/Qwen2.5-7B-Instruct,0.8655,0.8105,0.9205,0.88,9.8451,0,openbookqa,0,20,4,0,0.7744,0.2439,0.6216,0.49,0.01,0.0076,0.4824
Qwen/Qwen2.5-14B,openbookqa,0.336,0.315,0.359,0.91,10.1461,14.0,qwen,0,openbookqa,0,20,48,0,0.8281,0.245,0.091,Qwen/Qwen2.5-14B-Instruct,0.9167,0.8646,0.9641,0.94,10.1461,0,openbookqa,0,20,5,1,0.8836,0.2476,0.6691,0.5807,0.03,0.0026,0.5781
Qwen/Qwen2.5-32B,openbookqa,0.3435,0.318,0.37,0.94,10.5051,32.0,qwen,0,openbookqa,0,20,126,0,0.8836,0.2328,0.1107,Qwen/Qwen2.5-32B-Instruct,0.9611,0.9212,0.9919,0.95,10.5051,0,openbookqa,0,20,0,1,0.9025,0.2473,0.7138,0.6176,0.01,0.0145,0.6032
