model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-7B,hellaswag,0.4345,0.405,0.4655,0.75,9.8451,7.0,qwen,0,hellaswag,0,20,284,0,0.5625,0.212,0.2225,Qwen/Qwen2.5-7B-Instruct,0.325,0.294,0.356,0.77,9.8451,0,hellaswag,0,20,981,0,0.5929,0.1258,0.1992,-0.1095,0.02,-0.0862,-0.0233
Qwen/Qwen2.5-14B,hellaswag,0.402,0.372,0.432,0.82,10.1461,14.0,qwen,0,hellaswag,0,20,105,0,0.6724,0.2418,0.1602,Qwen/Qwen2.5-14B-Instruct,0.7225,0.683,0.7645,0.85,10.1461,0,hellaswag,0,20,216,0,0.7225,0.2221,0.5004,0.3205,0.03,-0.0196,0.3401
Qwen/Qwen2.5-32B,hellaswag,0.4285,0.4005,0.4575,0.84,10.5051,32.0,qwen,0,hellaswag,0,20,326,0,0.7056,0.2117,0.2168,Qwen/Qwen2.5-32B-Instruct,0.664,0.6235,0.702,0.89,10.5051,0,hellaswag,0,20,123,0,0.7921,0.2346,0.4294,0.2355,0.05,0.0229,0.2126
Qwen/Qwen2.5-0.5B,logiqa,0.187,0.165,0.2105,0.39,8.699,0.5,qwen,0,logiqa,0,20,465,0,0.1521,0.1699,0.0171,Qwen/Qwen2.5-0.5B-Instruct,0.2915,0.2675,0.3175,0.36,8.699,0,logiqa,0,20,151,0,0.1296,0.2741,0.0174,0.1045,-0.03,0.1042,0.0003
Qwen/Qwen2.5-1.5B,logiqa,0.254,0.225,0.283,0.39,9.1761,1.5,qwen,0,logiqa,0,20,276,0,0.1521,0.2195,0.0345,Qwen/Qwen2.5-1.5B-Instruct,0.269,0.244,0.2915,0.42,9.1761,0,logiqa,0,20,277,0,0.1764,0.2102,0.0588,0.015,0.03,-0.0093,0.0243
Qwen/Qwen2.5-3B,logiqa,0.278,0.252,0.306,0.41,9.4771,3.0,qwen,0,logiqa,0,20,217,0,0.1681,0.2361,0.0419,Qwen/Qwen2.5-3B-Instruct,0.356,0.316,0.396,0.48,9.4771,0,logiqa,0,20,403,0,0.2304,0.2108,0.1452,0.078,0.07,-0.0253,0.1033
Qwen/Qwen2.5-7B,logiqa,0.335,0.2935,0.375,0.48,9.8451,7.0,qwen,0,logiqa,0,20,271,0,0.2304,0.2231,0.1119,Qwen/Qwen2.5-7B-Instruct,0.3205,0.2865,0.3575,0.53,9.8451,0,logiqa,0,20,1015,0,0.2809,0.1352,0.1853,-0.0145,0.05,-0.0879,0.0734
Qwen/Qwen2.5-14B,logiqa,0.3675,0.3295,0.405,0.56,10.1461,14.0,qwen,0,logiqa,0,20,205,0,0.3136,0.2285,0.139,Qwen/Qwen2.5-14B-Instruct,0.566,0.5155,0.6145,0.62,10.1461,0,logiqa,0,20,409,0,0.3844,0.204,0.362,0.1985,0.06,-0.0245,0.223
Qwen/Qwen2.5-32B,logiqa,0.408,0.37,0.446,0.63,10.5051,32.0,qwen,0,logiqa,0,20,261,0,0.3969,0.2154,0.1926,Qwen/Qwen2.5-32B-Instruct,0.1735,0.1485,0.197,0.71,10.5051,0,logiqa,0,20,1529,0,0.5041,0.0591,0.1144,-0.2345,0.08,-0.1563,-0.0782
Qwen/Qwen2.5-0.5B,openbookqa,0.259,0.234,0.2825,0.38,8.699,0.5,qwen,0,openbookqa,0,20,89,0,0.1444,0.2449,0.0141,Qwen/Qwen2.5-0.5B-Instruct,0.4505,0.3975,0.5056,0.55,8.699,0,openbookqa,0,20,15,0,0.3025,0.2366,0.2139,0.1915,0.17,-0.0083,0.1998
Qwen/Qwen2.5-1.5B,openbookqa,0.264,0.2425,0.2875,0.65,9.1761,1.5,qwen,0,openbookqa,0,20,69,0,0.4225,0.2496,0.0144,Qwen/Qwen2.5-1.5B-Instruct,0.26,0.241,0.2795,0.76,9.1761,0,openbookqa,0,20,7,0,0.5776,0.2492,0.0108,-0.004,0.11,-0.0004,-0.0036
Qwen/Qwen2.5-3B,openbookqa,0.2755,0.2575,0.2945,0.72,9.4771,3.0,qwen,0,openbookqa,0,20,64,0,0.5184,0.248,0.0275,Qwen/Qwen2.5-3B-Instruct,0.2985,0.2735,0.32,0.78,9.4771,0,openbookqa,0,20,25,0,0.6084,0.2507,0.0478,0.023,0.06,0.0028,0.0202
Qwen/Qwen2.5-7B,openbookqa,0.3755,0.35,0.3986,0.87,9.8451,7.0,qwen,0,openbookqa,0,20,98,0,0.7569,0.2362,0.1393,Qwen/Qwen2.5-7B-Instruct,0.4675,0.4325,0.4985,0.87,9.8451,0,openbookqa,0,20,104,0,0.7569,0.2388,0.2287,0.092,0.0,0.0026,0.0894
Qwen/Qwen2.5-14B,openbookqa,0.336,0.315,0.359,0.91,10.1461,14.0,qwen,0,openbookqa,0,20,48,0,0.8281,0.245,0.091,Qwen/Qwen2.5-14B-Instruct,0.7035,0.668,0.7365,0.96,10.1461,0,openbookqa,0,20,5,0,0.9216,0.2468,0.4567,0.3675,0.05,0.0018,0.3657
Qwen/Qwen2.5-32B,openbookqa,0.3435,0.318,0.37,0.94,10.5051,32.0,qwen,0,openbookqa,0,20,126,0,0.8836,0.2328,0.1107,Qwen/Qwen2.5-32B-Instruct,0.6424,0.6091,0.6768,0.96,10.5051,0,openbookqa,0,20,70,1,0.9216,0.2417,0.4007,0.2989,0.02,0.0088,0.2901
