model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.325,0.294,0.356,0.77,9.8451,7.0,qwen,0,hellaswag,0,20,981,0,0.5929,0.1258,0.1992,Qwen/Qwen2.5-7B-Instruct,0.8215,0.769,0.8725,0.81,9.8451,0,hellaswag,0,20,0,0,0.6561,0.248,0.5735,0.4965,0.04,0.1222,0.3743
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.7225,0.683,0.7645,0.85,10.1461,14.0,qwen,0,hellaswag,0,20,216,0,0.7225,0.2221,0.5004,Qwen/Qwen2.5-14B-Instruct,0.8865,0.8344,0.933,0.92,10.1461,0,hellaswag,0,20,0,0,0.8464,0.2475,0.639,0.164,0.07,0.0254,0.1386
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.664,0.6235,0.702,0.89,10.5051,32.0,qwen,0,hellaswag,0,20,123,0,0.7921,0.2346,0.4294,Qwen/Qwen2.5-32B-Instruct,0.928,0.88,0.968,0.95,10.5051,0,hellaswag,0,20,0,0,0.9025,0.247,0.681,0.264,0.06,0.0124,0.2516
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.2915,0.2675,0.3175,0.36,8.699,0.5,qwen,0,logiqa,0,20,151,0,0.1296,0.2741,0.0174,Qwen/Qwen2.5-0.5B-Instruct,0.3205,0.2855,0.358,0.36,8.699,0,logiqa,0,20,10,0,0.1296,0.2877,0.0328,0.029,0.0,0.0137,0.0153
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.269,0.244,0.2915,0.42,9.1761,1.5,qwen,0,logiqa,0,20,277,0,0.1764,0.2102,0.0588,Qwen/Qwen2.5-1.5B-Instruct,0.457,0.41,0.51,0.46,9.1761,0,logiqa,0,20,2,0,0.2116,0.2924,0.1646,0.188,0.04,0.0822,0.1058
Qwen/Qwen2.5-3B-Instruct,logiqa,0.356,0.316,0.396,0.48,9.4771,3.0,qwen,0,logiqa,0,20,403,0,0.2304,0.2108,0.1452,Qwen/Qwen2.5-3B-Instruct,0.5595,0.4995,0.6215,0.47,9.4771,0,logiqa,0,20,16,0,0.2209,0.2724,0.2871,0.2035,-0.01,0.0616,0.1419
Qwen/Qwen2.5-7B-Instruct,logiqa,0.3205,0.2865,0.3575,0.53,9.8451,7.0,qwen,0,logiqa,0,20,1015,0,0.2809,0.1352,0.1853,Qwen/Qwen2.5-7B-Instruct,0.6795,0.6155,0.747,0.51,9.8451,0,logiqa,0,20,21,0,0.2601,0.2659,0.4136,0.359,-0.02,0.1307,0.2283
Qwen/Qwen2.5-14B-Instruct,logiqa,0.566,0.5155,0.6145,0.62,10.1461,14.0,qwen,0,logiqa,0,20,409,0,0.3844,0.204,0.362,Qwen/Qwen2.5-14B-Instruct,0.788,0.7294,0.8475,0.62,10.1461,0,logiqa,0,20,2,0,0.3844,0.2548,0.5332,0.222,0.0,0.0508,0.1712
Qwen/Qwen2.5-32B-Instruct,logiqa,0.1735,0.1485,0.197,0.71,10.5051,32.0,qwen,0,logiqa,0,20,1529,0,0.5041,0.0591,0.1144,Qwen/Qwen2.5-32B-Instruct,0.7735,0.7095,0.833,0.67,10.5051,0,logiqa,0,20,1,0,0.4489,0.2575,0.516,0.6,-0.04,0.1983,0.4017
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4505,0.3975,0.5056,0.55,8.699,0.5,qwen,0,openbookqa,0,20,15,0,0.3025,0.2366,0.2139,Qwen/Qwen2.5-0.5B-Instruct,0.4295,0.3825,0.4835,0.46,8.699,0,openbookqa,0,20,0,0,0.2116,0.2504,0.1791,-0.021,-0.09,0.0138,-0.0348
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.26,0.241,0.2795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,7,0,0.5776,0.2492,0.0108,Qwen/Qwen2.5-1.5B-Instruct,0.7465,0.6975,0.795,0.76,9.1761,0,openbookqa,0,20,1,0,0.5776,0.2444,0.5021,0.4865,0.0,-0.0048,0.4913
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.2985,0.2735,0.32,0.78,9.4771,3.0,qwen,0,openbookqa,0,20,25,0,0.6084,0.2507,0.0478,Qwen/Qwen2.5-3B-Instruct,0.8355,0.779,0.887,0.85,9.4771,0,openbookqa,0,20,10,0,0.7225,0.2454,0.5901,0.537,0.07,-0.0053,0.5423
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.4675,0.4325,0.4985,0.87,9.8451,7.0,qwen,0,openbookqa,0,20,104,0,0.7569,0.2388,0.2287,Qwen/Qwen2.5-7B-Instruct,0.8655,0.8105,0.9205,0.88,9.8451,0,openbookqa,0,20,4,0,0.7744,0.2439,0.6216,0.398,0.01,0.0051,0.3929
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.7035,0.668,0.7365,0.96,10.1461,14.0,qwen,0,openbookqa,0,20,5,0,0.9216,0.2468,0.4567,Qwen/Qwen2.5-14B-Instruct,0.9167,0.8646,0.9641,0.94,10.1461,0,openbookqa,0,20,5,1,0.8836,0.2476,0.6691,0.2132,-0.02,0.0008,0.2124
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.6424,0.6091,0.6768,0.96,10.5051,32.0,qwen,0,openbookqa,0,20,70,1,0.9216,0.2417,0.4007,Qwen/Qwen2.5-32B-Instruct,0.9611,0.9212,0.9919,0.95,10.5051,0,openbookqa,0,20,0,1,0.9025,0.2473,0.7138,0.3187,-0.01,0.0056,0.3131
