model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,proxy_residual,proxy_predicted_from_accuracy
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.41,0.51,0.46,9.1761,1.5,qwen,0,logiqa,0,20,2,0,0.2116,-0.0432,0.5002
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.4995,0.6215,0.47,9.4771,3.0,qwen,0,logiqa,0,20,16,0,0.2209,0.0498,0.5097
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,0.1321,0.5474
Qwen/Qwen2.5-14B-Instruct,logiqa,0.788,0.7294,0.8475,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,0.1368,0.6512
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,0.0751,0.6984
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7695,0.705,0.8305,0.61,10.8573,72.0,qwen,0,logiqa,1,20,4,0,0.3721,0.1277,0.6418
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,-0.112,0.689
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.693,0.8215,0.74,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5476,-0.0074,0.7644
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,0.0025,0.821
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.9237,0.8737,0.9644,0.91,10.8451,70.0,llama,1,openbookqa,1,20,1,3,0.8281,-0.0011,0.9248
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,-0.0707,0.5002
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7465,0.6975,0.795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,1,0,0.5776,-0.0368,0.7833
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.779,0.887,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,10,0,0.7225,-0.0327,0.8682
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,-0.031,0.8965
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9167,0.8646,0.9641,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,5,1,0.8836,-0.0365,0.9531
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,-0.0015,0.9626
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9672,0.9273,0.9949,0.98,10.8573,72.0,qwen,0,openbookqa,1,20,8,1,0.9604,-0.0237,0.9909
