model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,0.2469,0.0721,meta-llama/Llama-3.2-1B-Instruct,0.2864,0.2459,0.3298,0.31,9.0,1,logiqa,0,20,5,1,0.0961,0.2476,0.0387,-0.0326,0.07,0.0008,-0.0334
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,0.2606,0.2449,meta-llama/Llama-3.1-8B-Instruct,0.4692,0.4091,0.5328,0.43,9.9031,1,logiqa,0,20,12,1,0.1849,0.2477,0.2215,-0.0363,0.0,-0.0129,-0.0234
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,0.2877,0.0328,Qwen/Qwen2.5-0.5B-Instruct,0.3205,0.2855,0.358,0.36,8.699,0,logiqa,0,20,10,0,0.1296,0.2873,0.0332,0.0,0.0,-0.0004,0.0004
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,0.2659,0.4136,Qwen/Qwen2.5-7B-Instruct,0.6885,0.625,0.758,0.55,9.8451,0,logiqa,0,20,22,0,0.3025,0.2682,0.4203,0.009,0.04,0.0023,0.0067
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,0.2575,0.516,Qwen/Qwen2.5-32B-Instruct,0.8,0.735,0.857,0.69,10.5051,0,logiqa,0,20,0,0,0.4761,0.2594,0.5406,0.0265,0.02,0.0019,0.0246
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,0.2557,0.3213,meta-llama/Llama-3.2-1B-Instruct,0.536,0.4735,0.6005,0.63,9.0,1,openbookqa,0,20,2,0,0.3969,0.2525,0.2835,-0.041,-0.03,-0.0031,-0.0379
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,0.2468,0.5767,meta-llama/Llama-3.1-8B-Instruct,0.804,0.7425,0.8625,0.78,9.9031,1,openbookqa,0,20,1,0,0.6084,0.2473,0.5567,-0.0195,-0.02,0.0005,-0.02
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,0.2504,0.1791,Qwen/Qwen2.5-0.5B-Instruct,0.399,0.343,0.4531,0.4,8.699,0,openbookqa,0,20,0,0,0.16,0.2512,0.1478,-0.0305,-0.06,0.0008,-0.0313
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,0.2439,0.6216,Qwen/Qwen2.5-7B-Instruct,0.8848,0.8328,0.9313,0.89,9.8451,0,openbookqa,0,20,3,1,0.7921,0.2449,0.64,0.0193,0.01,0.001,0.0184
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,0.2473,0.7138,Qwen/Qwen2.5-32B-Instruct,0.9546,0.9173,0.9888,0.94,10.5051,0,openbookqa,0,20,0,2,0.8836,0.2468,0.7078,-0.0065,-0.01,-0.0005,-0.006
