model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
meta-llama/Llama-3.2-1B-Instruct,aqua,0.227,0.185,0.274,0.18,9.0,1.0,llama,1,aqua,0,20,31,0,0.0324,0.2078,0.0192,meta-llama/Llama-3.2-1B-Instruct,0.2065,0.1675,0.247,0.19,9.0,1,aqua,0,20,34,0,0.0361,0.194,0.0125,-0.0205,0.01,-0.0138,-0.0067
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2875,0.22,0.3555,0.3,9.9031,8.0,llama,1,aqua,0,20,24,0,0.09,0.1928,0.0947,meta-llama/Llama-3.1-8B-Instruct,0.2597,0.1928,0.3302,0.25,9.9031,1,aqua,0,20,42,2,0.0625,0.1903,0.0694,-0.0278,-0.05,-0.0025,-0.0253
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2325,0.1995,0.2655,0.19,8.699,0.5,qwen,0,aqua,0,20,11,0,0.0361,0.2325,0.0,Qwen/Qwen2.5-0.5B-Instruct,0.223,0.1875,0.257,0.19,8.699,0,aqua,0,20,9,0,0.0361,0.223,0.0,-0.0095,0.0,-0.0095,0.0
Qwen/Qwen2.5-7B-Instruct,aqua,0.4641,0.3752,0.5596,0.41,9.8451,7.0,qwen,0,aqua,0,20,0,1,0.1681,0.2143,0.2499,Qwen/Qwen2.5-7B-Instruct,0.4758,0.3893,0.5738,0.43,9.8451,0,aqua,0,20,0,1,0.1849,0.2116,0.2642,0.0116,0.02,-0.0027,0.0143
Qwen/Qwen2.5-32B-Instruct,aqua,0.6222,0.5318,0.7106,0.58,10.5051,32.0,qwen,0,aqua,0,20,0,1,0.3364,0.2054,0.4169,Qwen/Qwen2.5-32B-Instruct,0.6035,0.5156,0.6899,0.56,10.5051,0,aqua,0,20,0,1,0.3136,0.2044,0.3991,-0.0187,-0.02,-0.0009,-0.0177
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.502,0.4475,0.556,0.46,9.0,1.0,llama,1,arc_challenge,0,20,2,0,0.2116,0.2362,0.2658,meta-llama/Llama-3.2-1B-Instruct,0.532,0.475,0.59,0.48,9.0,1,arc_challenge,0,20,1,0,0.2304,0.2424,0.2896,0.03,0.02,0.0062,0.0238
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.705,0.8416,0.7,9.9031,8.0,llama,1,arc_challenge,0,20,1,0,0.49,0.2446,0.5324,meta-llama/Llama-3.1-8B-Instruct,0.817,0.7555,0.8725,0.75,9.9031,1,arc_challenge,0,20,0,0,0.5625,0.249,0.568,0.04,0.05,0.0043,0.0357
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.3785,0.4725,0.4,8.699,0.5,qwen,0,arc_challenge,0,20,0,0,0.16,0.2271,0.1964,Qwen/Qwen2.5-0.5B-Instruct,0.494,0.4435,0.5485,0.42,8.699,0,arc_challenge,0,20,1,0,0.1764,0.2481,0.2459,0.0705,0.02,0.021,0.0495
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.846,0.776,0.904,0.86,9.8451,7.0,qwen,0,arc_challenge,0,20,0,0,0.7396,0.236,0.61,Qwen/Qwen2.5-7B-Instruct,0.8445,0.78,0.907,0.85,9.8451,0,arc_challenge,0,20,0,0,0.7225,0.2384,0.6061,-0.0015,-0.01,0.0024,-0.0039
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.896,0.9765,0.93,10.5051,32.0,qwen,0,arc_challenge,0,20,0,0,0.8649,0.2339,0.7061,Qwen/Qwen2.5-32B-Instruct,0.941,0.8945,0.9755,0.93,10.5051,0,arc_challenge,0,20,0,0,0.8649,0.2336,0.7074,0.001,0.0,-0.0003,0.0013
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.276,0.3705,0.27,9.0,1.0,llama,1,hellaswag,0,20,6,0,0.0729,0.2473,0.0747,meta-llama/Llama-3.2-1B-Instruct,0.3855,0.3335,0.439,0.37,9.0,1,hellaswag,0,20,5,0,0.1369,0.253,0.1325,0.0635,0.1,0.0057,0.0578
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.717,0.6535,0.777,0.75,9.9031,8.0,llama,1,hellaswag,0,20,3,0,0.5625,0.2456,0.4714,meta-llama/Llama-3.1-8B-Instruct,0.728,0.6695,0.7865,0.71,9.9031,1,hellaswag,0,20,0,0,0.5041,0.2467,0.4813,0.011,-0.04,0.0012,0.0098
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,0.2478,0.0977,Qwen/Qwen2.5-0.5B-Instruct,0.525,0.4775,0.5695,0.31,8.699,0,hellaswag,0,20,0,0,0.0961,0.4263,0.0987,0.1795,-0.03,0.1785,0.001
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,0.248,0.5735,Qwen/Qwen2.5-7B-Instruct,0.843,0.7949,0.8895,0.81,9.8451,0,hellaswag,0,20,0,0,0.6561,0.2493,0.5937,0.0215,0.0,0.0013,0.0202
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,0.247,0.681,Qwen/Qwen2.5-32B-Instruct,0.9205,0.873,0.9625,0.95,10.5051,0,hellaswag,0,20,0,0,0.9025,0.2474,0.6731,-0.0075,0.0,0.0004,-0.0079
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,0.2469,0.0721,meta-llama/Llama-3.2-1B-Instruct,0.3015,0.262,0.347,0.3,9.0,1,logiqa,0,20,10,0,0.09,0.2442,0.0573,-0.0175,0.06,-0.0027,-0.0148
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,0.2606,0.2449,meta-llama/Llama-3.1-8B-Instruct,0.518,0.4525,0.583,0.45,9.9031,1,logiqa,0,20,18,0,0.2025,0.255,0.263,0.0125,0.02,-0.0056,0.0181
