model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,proxy_residual,proxy_predicted_from_accuracy
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.705,0.8416,0.7,9.9031,8.0,llama,1,arc_challenge,0,20,1,0,0.49,0.0584,0.7186
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.3785,0.4725,0.4,8.699,0.5,qwen,0,arc_challenge,0,20,0,0,0.16,-0.0145,0.438
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.704,0.6465,0.7625,0.69,9.1761,1.5,qwen,0,arc_challenge,0,20,0,0,0.4761,-0.0053,0.7093
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.7725,0.705,0.838,0.76,9.4771,3.0,qwen,0,arc_challenge,0,20,1,0,0.5776,-0.0023,0.7748
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.846,0.776,0.904,0.86,9.8451,7.0,qwen,0,arc_challenge,0,20,0,0,0.7396,-0.0223,0.8683
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9275,0.878,0.9685,0.92,10.1461,14.0,qwen,0,arc_challenge,0,20,0,0,0.8464,0.0031,0.9244
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.896,0.9765,0.93,10.5051,32.0,qwen,0,arc_challenge,0,20,0,0,0.8649,0.0062,0.9338
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.276,0.3705,0.27,9.0,1.0,llama,1,hellaswag,0,20,6,0,0.0729,0.0056,0.3164
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.602,0.5315,0.668,0.47,9.4771,3.0,llama,1,hellaswag,0,20,1,0,0.2209,0.0985,0.5035
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.717,0.6535,0.777,0.75,9.9031,8.0,llama,1,hellaswag,0,20,3,0,0.5625,-0.0484,0.7654
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,-0.0364,0.3819
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6245,0.5635,0.679,0.59,9.1761,1.5,qwen,0,hellaswag,0,20,1,0,0.3481,0.0087,0.6158
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7675,0.7085,0.8225,0.74,9.4771,3.0,qwen,0,hellaswag,0,20,3,0,0.5476,0.0114,0.7561
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,-0.0,0.8215
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8865,0.8344,0.933,0.92,10.1461,14.0,qwen,0,hellaswag,0,20,0,0,0.8464,-0.0379,0.9244
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,-0.0245,0.9525
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,0.0306,0.2884
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.4055,0.354,0.4575,0.32,9.4771,3.0,llama,1,logiqa,0,20,2,0,0.1024,0.0423,0.3632
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,0.0394,0.4661
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,-0.0801,0.4006
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.41,0.51,0.46,9.1761,1.5,qwen,0,logiqa,0,20,2,0,0.2116,-0.0372,0.4942
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.4995,0.6215,0.47,9.4771,3.0,qwen,0,logiqa,0,20,16,0,0.2209,0.056,0.5035
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,0.1386,0.5409
Qwen/Qwen2.5-14B-Instruct,logiqa,0.788,0.7294,0.8475,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,0.1442,0.6438
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,0.0829,0.6906
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,-0.1042,0.6812
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.693,0.8215,0.74,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5476,0.0009,0.7561
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,0.0113,0.8122
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,-0.0647,0.4942
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7465,0.6975,0.795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,1,0,0.5776,-0.0283,0.7748
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.779,0.887,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,10,0,0.7225,-0.0234,0.8589
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,-0.0215,0.887
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9167,0.8646,0.9641,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,5,1,0.8836,-0.0265,0.9431
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,0.0086,0.9525
