model_id,dataset_name,n_questions_used,n_permutations,real_match_rate,shuffled_mean,shuffled_std,null_ci_lower,null_ci_upper,dependence,real_above_null,uniform_chance,log_params,size_b,family,is_quantized
meta-llama/Llama-3.1-70B-Instruct,hellaswag,99,1000,0.8919,0.2443,0.0399,0.1677,0.3237,0.6476,True,0.25,10.8451,70.0,llama,0
allenai/OLMo-2-0425-1B-Instruct,hellaswag,100,1000,0.38,0.2834,0.0169,0.252,0.3165,0.0966,True,0.25,9.0,1.0,olmo,0
allenai/OLMo-2-1124-7B-Instruct,hellaswag,100,1000,0.6055,0.2428,0.0291,0.1875,0.2995,0.3627,True,0.25,9.8451,7.0,olmo,0
allenai/OLMo-2-1124-13B-Instruct,hellaswag,100,1000,0.7445,0.2533,0.0344,0.188,0.323,0.4912,True,0.25,10.1139,13.0,olmo,0
allenai/OLMo-2-0325-32B-Instruct,hellaswag,100,1000,0.829,0.2446,0.0376,0.172,0.32,0.5844,True,0.25,10.5051,32.0,olmo,0
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,100,1000,0.3455,0.2478,0.0136,0.2205,0.2735,0.0977,True,0.25,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,100,1000,0.6245,0.2503,0.0307,0.192,0.3155,0.3742,True,0.25,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,hellaswag,100,1000,0.7675,0.2452,0.0355,0.176,0.3195,0.5223,True,0.25,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,hellaswag,100,1000,0.8215,0.248,0.0389,0.174,0.3245,0.5735,True,0.25,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,hellaswag,100,1000,0.8865,0.2475,0.0414,0.164,0.328,0.639,True,0.25,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,hellaswag,100,1000,0.928,0.247,0.0411,0.1675,0.33,0.681,True,0.25,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct,hellaswag,100,1000,0.9505,0.2517,0.0404,0.1745,0.3325,0.6988,True,0.25,10.8573,72.0,qwen,0
meta-llama/Llama-3.2-1B-Instruct,logiqa,100,1000,0.319,0.2469,0.0171,0.2145,0.28,0.0721,True,0.25,9.0,1.0,llama,0
meta-llama/Llama-3.2-3B-Instruct,logiqa,100,1000,0.4055,0.2596,0.024,0.2135,0.3105,0.1459,True,0.25,9.4771,3.0,llama,0
meta-llama/Llama-3.1-8B-Instruct,logiqa,100,1000,0.5055,0.2606,0.0284,0.2065,0.3165,0.2449,True,0.25,9.9031,8.0,llama,0
meta-llama/Llama-3.1-70B-Instruct,logiqa,100,1000,0.7325,0.2566,0.0388,0.181,0.3345,0.4759,True,0.25,10.8451,70.0,llama,0
allenai/OLMo-2-0425-1B-Instruct,logiqa,100,1000,0.388,0.3429,0.0099,0.324,0.3625,0.0451,True,0.25,9.0,1.0,olmo,0
allenai/OLMo-2-1124-7B-Instruct,logiqa,99,1000,0.5247,0.3194,0.0245,0.2747,0.3702,0.2054,True,0.25,9.8451,7.0,olmo,0
allenai/OLMo-2-1124-13B-Instruct,logiqa,100,1000,0.552,0.2579,0.028,0.205,0.314,0.2941,True,0.25,10.1139,13.0,olmo,0
