model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,0.4454,0.3541,0.5306,0.41,10.8451,70.0,llama,1,aqua,1,20,43,2,0.1681,0.1982,0.2472,meta-llama/Llama-3.1-70B-Instruct,0.4878,0.3934,0.5755,0.44,10.8451,1,aqua,0,20,42,2,0.1936,0.2004,0.2873,0.0423,0.03,0.0022,0.0402
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,0.6101,0.5126,0.6955,0.57,10.8573,72.0,qwen,0,aqua,1,20,3,1,0.3249,0.1982,0.4119,Qwen/Qwen2.5-72B-Instruct,0.6338,0.5434,0.7137,0.6,10.8573,0,aqua,0,20,2,1,0.36,0.1973,0.4366,0.0237,0.03,-0.0009,0.0246
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,0.9835,0.9665,0.996,0.96,10.8573,72.0,qwen,0,arc_challenge,1,20,5,0,0.9216,0.2364,0.7471,Qwen/Qwen2.5-72B-Instruct,0.9655,0.9395,0.9865,0.96,10.8573,0,arc_challenge,0,20,10,0,0.9216,0.2373,0.7282,-0.018,0.0,0.0009,-0.0189
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,0.9385,0.9015,0.97,0.89,10.8573,72.0,qwen,0,hellaswag,1,20,0,0,0.7921,0.2524,0.6861,Qwen/Qwen2.5-72B-Instruct,0.9505,0.9145,0.981,0.88,10.8573,0,hellaswag,0,20,0,0,0.7744,0.253,0.6975,0.012,-0.01,0.0006,0.0114
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7695,0.705,0.8305,0.61,10.8573,72.0,qwen,0,logiqa,1,20,4,0,0.3721,0.2577,0.5118,Qwen/Qwen2.5-72B-Instruct,0.742,0.669,0.8115,0.65,10.8573,0,logiqa,0,20,0,0,0.4225,0.2578,0.4842,-0.0275,0.04,0.0001,-0.0276
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9672,0.9273,0.9949,0.98,10.8573,72.0,qwen,0,openbookqa,1,20,8,1,0.9604,0.2435,0.7237,Qwen/Qwen2.5-72B-Instruct,0.9832,0.9612,0.9985,0.98,10.8573,0,openbookqa,0,20,3,2,0.9604,0.2445,0.7386,0.016,0.0,0.001,0.015
