model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5258,0.4594,0.5882,0.45,9.9031,8.0,llama,1,logiqa,0,100,41,0,0.2025,100,0.1288
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,logiqa,0.7426,0.6795,0.8022,0.59,10.8451,70.0,llama,1,logiqa,1,100,42,0,0.3481,100,0.1228
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3236,0.2934,0.3559,0.36,8.699,0.5,qwen,0,logiqa,0,100,51,0,0.1296,100,0.0625
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.4423,0.3989,0.4909,0.46,9.1761,1.5,qwen,0,logiqa,0,100,19,0,0.2116,100,0.092
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5548,0.4956,0.6137,0.47,9.4771,3.0,qwen,0,logiqa,0,100,97,0,0.2209,100,0.1181
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6572,0.5919,0.7273,0.5,9.8451,7.0,qwen,0,logiqa,0,100,98,0,0.25,100,0.1354
Qwen/Qwen2.5-14B-Instruct,logiqa,0.7697,0.7057,0.831,0.62,10.1461,14.0,qwen,0,logiqa,0,100,15,0,0.3844,100,0.1253
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7705,0.7038,0.8303,0.67,10.5051,32.0,qwen,0,logiqa,0,100,6,0,0.4489,100,0.1265
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7737,0.7091,0.8348,0.61,10.8573,72.0,qwen,0,logiqa,1,100,16,0,0.3721,100,0.1257
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.569,0.5103,0.6314,0.65,9.0,1.0,llama,1,openbookqa,0,100,2,0,0.4225,100,0.1211
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.7641,0.7016,0.8254,0.73,9.4771,3.0,llama,1,openbookqa,0,100,1,0,0.5329,100,0.1238
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8203,0.7588,0.879,0.8,9.9031,8.0,llama,1,openbookqa,0,100,2,0,0.64,100,0.1202
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.9281,0.8801,0.9678,0.92,10.8451,70.0,llama,1,openbookqa,1,100,9,3,0.8464,100,0.0878
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.422,0.3756,0.4732,0.45,8.699,0.5,qwen,0,openbookqa,0,100,3,0,0.2025,100,0.0976
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7479,0.698,0.7963,0.76,9.1761,1.5,qwen,0,openbookqa,0,100,2,0,0.5776,100,0.0983
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8242,0.7681,0.8756,0.85,9.4771,3.0,qwen,0,openbookqa,0,100,77,0,0.7225,100,0.1075
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8674,0.814,0.9202,0.88,9.8451,7.0,qwen,0,openbookqa,0,100,26,0,0.7744,100,0.1062
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9127,0.8593,0.9604,0.94,10.1461,14.0,qwen,0,openbookqa,0,100,18,1,0.8836,100,0.1011
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9608,0.9226,0.9911,0.95,10.5051,32.0,qwen,0,openbookqa,0,100,0,1,0.9025,100,0.0685
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9708,0.9317,0.9972,0.98,10.8573,72.0,qwen,0,openbookqa,1,100,31,1,0.9604,100,0.0655
