model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.521,0.4545,0.5835,0.45,9.9031,8.0,llama,1,logiqa,0,20,10,0,0.2025,20,0.129
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,logiqa,0.756,0.693,0.8145,0.59,10.8451,70.0,llama,1,logiqa,1,20,10,0,0.3481,20,0.1215
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.335,0.301,0.3745,0.36,8.699,0.5,qwen,0,logiqa,0,20,9,0,0.1296,20,0.0735
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.4585,0.411,0.511,0.46,9.1761,1.5,qwen,0,logiqa,0,20,3,0,0.2116,20,0.1
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5515,0.488,0.6125,0.47,9.4771,3.0,qwen,0,logiqa,0,20,20,0,0.2209,20,0.1245
Qwen/Qwen2.5-7B-Instruct,logiqa,0.647,0.579,0.7185,0.5,9.8451,7.0,qwen,0,logiqa,0,20,19,0,0.25,20,0.1395
Qwen/Qwen2.5-14B-Instruct,logiqa,0.769,0.7044,0.831,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,20,0.1266
Qwen/Qwen2.5-32B-Instruct,logiqa,0.779,0.712,0.8385,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,20,0.1265
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.769,0.704,0.829,0.61,10.8573,72.0,qwen,0,logiqa,1,20,4,0,0.3721,20,0.125
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.566,0.507,0.6305,0.65,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4225,20,0.1235
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.7735,0.7135,0.8345,0.73,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5329,20,0.121
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8255,0.765,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,1,0,0.64,20,0.1175
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.9253,0.8742,0.965,0.92,10.8451,70.0,llama,1,openbookqa,1,20,2,3,0.8464,20,0.0908
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4255,0.3785,0.4775,0.45,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2025,20,0.099
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.747,0.696,0.7985,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,0,0,0.5776,20,0.1025
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.834,0.7785,0.8855,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,11,0,0.7225,20,0.107
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.862,0.8045,0.9165,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,6,0,0.7744,20,0.112
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9141,0.8611,0.9616,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,4,1,0.8836,20,0.1005
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9601,0.9212,0.9894,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,20,0.0682
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9677,0.9278,0.9949,0.98,10.8573,72.0,qwen,0,openbookqa,1,20,5,1,0.9604,20,0.0672
meta-llama/Llama-3.2-1B-Instruct,aqua,0.2077,0.1713,0.2487,0.2,9.0,1.0,llama,1,aqua,0,50,77,1,0.04,50,0.0774
meta-llama/Llama-3.2-3B-Instruct,aqua,0.2889,0.2261,0.3549,0.27,9.4771,3.0,llama,1,aqua,0,50,80,1,0.0729,50,0.1289
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2792,0.2134,0.3451,0.3,9.9031,8.0,llama,1,aqua,0,50,85,0,0.09,50,0.1317
