model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,proxy_residual,proxy_predicted_from_accuracy
allenai/OLMo-2-0325-32B-Instruct,arc_challenge,0.9165,0.8625,0.964,0.89,10.5051,32.0,olmo,0,arc_challenge,0,20,0,0,0.7921,0.0079,0.9086
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.3785,0.4725,0.4,8.699,0.5,qwen,0,arc_challenge,0,20,0,0,0.16,-0.0241,0.4476
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.704,0.6465,0.7625,0.69,9.1761,1.5,qwen,0,arc_challenge,0,20,0,0,0.4761,-0.0165,0.7205
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.7725,0.705,0.838,0.76,9.4771,3.0,qwen,0,arc_challenge,0,20,1,0,0.5776,-0.0138,0.7863
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.846,0.776,0.904,0.86,9.8451,7.0,qwen,0,arc_challenge,0,20,0,0,0.7396,-0.0344,0.8804
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9275,0.878,0.9685,0.92,10.1461,14.0,qwen,0,arc_challenge,0,20,0,0,0.8464,-0.0094,0.9369
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.896,0.9765,0.93,10.5051,32.0,qwen,0,arc_challenge,0,20,0,0,0.8649,-0.0063,0.9463
Qwen/Qwen2.5-72B-Instruct,arc_challenge,0.9655,0.9395,0.9865,0.96,10.8573,72.0,qwen,0,arc_challenge,0,20,10,0,0.9216,-0.009,0.9745
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.276,0.3705,0.27,9.0,1.0,llama,1,hellaswag,0,20,6,0,0.0729,-0.0033,0.3253
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.602,0.5315,0.668,0.47,9.4771,3.0,llama,1,hellaswag,0,20,1,0,0.2209,0.0885,0.5135
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.717,0.6535,0.777,0.75,9.9031,8.0,llama,1,hellaswag,0,20,3,0,0.5625,-0.0599,0.7769
meta-llama/Llama-3.1-70B-Instruct,hellaswag,0.8919,0.8389,0.9374,0.84,10.8451,70.0,llama,1,hellaswag,0,20,1,1,0.7056,0.0303,0.8616
allenai/OLMo-2-0425-1B-Instruct,hellaswag,0.38,0.3275,0.4315,0.33,9.0,1.0,olmo,0,hellaswag,0,20,0,0,0.1089,-0.0018,0.3818
allenai/OLMo-2-1124-7B-Instruct,hellaswag,0.6055,0.5335,0.6695,0.62,9.8451,7.0,olmo,0,hellaswag,0,20,0,0,0.3844,-0.0491,0.6546
allenai/OLMo-2-1124-13B-Instruct,hellaswag,0.7445,0.6895,0.7975,0.7,10.1139,13.0,olmo,0,hellaswag,0,20,0,0,0.49,0.0146,0.7299
allenai/OLMo-2-0325-32B-Instruct,hellaswag,0.829,0.7735,0.884,0.82,10.5051,32.0,olmo,0,hellaswag,0,20,0,0,0.6724,-0.0138,0.8428
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,-0.0457,0.3912
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6245,0.5635,0.679,0.59,9.1761,1.5,qwen,0,hellaswag,0,20,1,0,0.3481,-0.0019,0.6264
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7675,0.7085,0.8225,0.74,9.4771,3.0,qwen,0,hellaswag,0,20,3,0,0.5476,-0.0,0.7675
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,-0.0119,0.8334
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8865,0.8344,0.933,0.92,10.1461,14.0,qwen,0,hellaswag,0,20,0,0,0.8464,-0.0504,0.9369
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,-0.0371,0.9651
Qwen/Qwen2.5-72B-Instruct,hellaswag,0.9505,0.9145,0.981,0.88,10.8573,72.0,qwen,0,hellaswag,0,20,0,0,0.7744,0.0513,0.8992
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,0.0219,0.2971
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.4055,0.354,0.4575,0.32,9.4771,3.0,llama,1,logiqa,0,20,2,0,0.1024,0.0332,0.3723
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,0.0297,0.4758
meta-llama/Llama-3.1-70B-Instruct,logiqa,0.7325,0.6665,0.796,0.57,10.8451,70.0,llama,1,logiqa,0,20,6,0,0.3249,0.1249,0.6076
allenai/OLMo-2-0425-1B-Instruct,logiqa,0.388,0.3395,0.44,0.35,9.0,1.0,olmo,0,logiqa,0,20,14,0,0.1225,-0.0126,0.4006
allenai/OLMo-2-1124-7B-Instruct,logiqa,0.5247,0.4601,0.5914,0.47,9.8451,7.0,olmo,0,logiqa,0,20,2,1,0.2209,0.0113,0.5135
allenai/OLMo-2-1124-13B-Instruct,logiqa,0.552,0.4895,0.611,0.42,10.1139,13.0,olmo,0,logiqa,0,20,1,0,0.1764,0.0856,0.4664
allenai/OLMo-2-0325-32B-Instruct,logiqa,0.6875,0.6249,0.7495,0.56,10.5051,32.0,olmo,0,logiqa,0,20,0,0,0.3136,0.0893,0.5982
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,-0.0895,0.41
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.41,0.51,0.46,9.1761,1.5,qwen,0,logiqa,0,20,2,0,0.2116,-0.0471,0.5041
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.4995,0.6215,0.47,9.4771,3.0,qwen,0,logiqa,0,20,16,0,0.2209,0.046,0.5135
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6795,0.6155,0.747,0.51,9.8451,7.0,qwen,0,logiqa,0,20,21,0,0.2601,0.1284,0.5511
Qwen/Qwen2.5-14B-Instruct,logiqa,0.788,0.7294,0.8475,0.62,10.1461,14.0,qwen,0,logiqa,0,20,2,0,0.3844,0.1334,0.6546
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735,0.7095,0.833,0.67,10.5051,32.0,qwen,0,logiqa,0,20,1,0,0.4489,0.0719,0.7016
Qwen/Qwen2.5-72B-Instruct,logiqa,0.742,0.669,0.8115,0.65,10.8573,72.0,qwen,0,logiqa,0,20,0,0,0.4225,0.0592,0.6828
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.577,0.5185,0.6395,0.66,9.0,1.0,llama,1,openbookqa,0,20,0,0,0.4356,-0.1152,0.6922
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.693,0.8215,0.74,9.4771,3.0,llama,1,openbookqa,0,20,0,0,0.5476,-0.0105,0.7675
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8235,0.7625,0.8825,0.8,9.9031,8.0,llama,1,openbookqa,0,20,0,0,0.64,-0.0005,0.824
meta-llama/Llama-3.1-70B-Instruct,openbookqa,0.93,0.8768,0.9747,0.89,10.8451,70.0,llama,1,openbookqa,0,20,2,5,0.7921,0.0214,0.9086
allenai/OLMo-2-0425-1B-Instruct,openbookqa,0.417,0.3575,0.4725,0.29,9.0,1.0,olmo,0,openbookqa,0,20,1,0,0.0841,0.0729,0.3441
allenai/OLMo-2-1124-7B-Instruct,openbookqa,0.777,0.718,0.8375,0.74,9.8451,7.0,olmo,0,openbookqa,0,20,0,0,0.5476,0.0095,0.7675
allenai/OLMo-2-1124-13B-Instruct,openbookqa,0.862,0.8075,0.9145,0.85,10.1139,13.0,olmo,0,openbookqa,0,20,0,0,0.7225,-0.009,0.871
allenai/OLMo-2-0325-32B-Instruct,openbookqa,0.9165,0.868,0.957,0.89,10.5051,32.0,olmo,0,openbookqa,0,20,0,0,0.7921,0.0079,0.9086
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.4295,0.3825,0.4835,0.46,8.699,0.5,qwen,0,openbookqa,0,20,0,0,0.2116,-0.0746,0.5041
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7465,0.6975,0.795,0.76,9.1761,1.5,qwen,0,openbookqa,0,20,1,0,0.5776,-0.0398,0.7863
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.779,0.887,0.85,9.4771,3.0,qwen,0,openbookqa,0,20,10,0,0.7225,-0.0355,0.871
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8655,0.8105,0.9205,0.88,9.8451,7.0,qwen,0,openbookqa,0,20,4,0,0.7744,-0.0337,0.8992
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9167,0.8646,0.9641,0.94,10.1461,14.0,qwen,0,openbookqa,0,20,5,1,0.8836,-0.039,0.9557
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611,0.9212,0.9919,0.95,10.5051,32.0,qwen,0,openbookqa,0,20,0,1,0.9025,-0.004,0.9651
Qwen/Qwen2.5-72B-Instruct,openbookqa,0.9832,0.9612,0.9985,0.98,10.8573,72.0,qwen,0,openbookqa,0,20,3,2,0.9604,-0.0102,0.9933
